GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Orne Beans,dev.orne.beans.converters,EnumConvertUtilsBean,18,0,4,0,6,0,4,0,2,0
Orne Beans,dev.orne.beans.converters,IdentityConverter,47,3,8,0,13,2,8,1,4,1
Orne Beans,dev.orne.beans.converters,EnumConverter,113,14,14,0,29,4,15,2,8,2
Orne Beans,dev.orne.beans.converters,LocalTimeConverter,43,27,0,0,14,5,5,2,5,2
Orne Beans,dev.orne.beans.converters,MonthConverter,109,119,8,0,31,17,11,3,7,3
Orne Beans,dev.orne.beans.converters,MonthDayConverter,43,116,0,0,14,29,5,3,5,3
Orne Beans,dev.orne.beans.converters,OrneBeansConverters,503,173,12,4,98,44,19,9,11,9
Orne Beans,dev.orne.beans.converters,UriConverter,41,3,6,0,12,2,7,1,4,1
Orne Beans,dev.orne.beans.converters,PeriodConverter,39,3,6,0,11,2,7,1,4,1
Orne Beans,dev.orne.beans.converters,OffsetTimeConverter,57,27,0,0,17,5,5,2,5,2
Orne Beans,dev.orne.beans.converters,EnumConvertUtilsBean2,18,0,4,0,6,0,4,0,2,0
Orne Beans,dev.orne.beans.converters,LocaleConverter,50,3,8,0,14,2,8,1,4,1
Orne Beans,dev.orne.beans.converters,AbstractDateTimeConverter,132,105,16,8,34,26,18,7,6,7
Orne Beans,dev.orne.beans.converters,ZonedDateTimeConverter,56,23,0,0,17,5,5,2,5,2
Orne Beans,dev.orne.beans.converters,YearMonthConverter,43,116,0,0,14,25,5,3,5,3
Orne Beans,dev.orne.beans.converters,InstantConverter,42,37,0,0,14,9,5,3,5,3
Orne Beans,dev.orne.beans.converters,LocalDateConverter,43,39,0,0,14,5,5,2,5,2
Orne Beans,dev.orne.beans.converters,LocalDateTimeConverter,43,23,0,0,14,5,5,2,5,2
Orne Beans,dev.orne.beans.converters,ZoneOffsetConverter,28,45,0,0,11,13,5,3,5,3
Orne Beans,dev.orne.beans.converters,DayOfWeekConverter,85,111,6,2,25,23,9,5,5,5
Orne Beans,dev.orne.beans.converters,DurationConverter,61,3,10,0,17,2,9,1,4,1
Orne Beans,dev.orne.beans.converters,IdentityBeanConverter,217,0,16,0,61,0,22,0,14,0
Orne Beans,dev.orne.beans.converters,YearConverter,67,70,4,0,19,8,8,3,6,3
Orne Beans,dev.orne.beans.converters,EnumTypedConverter,154,0,8,0,35,0,17,0,13,0
Orne Beans,dev.orne.beans.converters,GregorianCalendarConverter,101,8,14,0,28,3,14,1,7,1
Orne Beans,dev.orne.beans.converters,DateConverter,81,8,10,0,23,3,12,1,7,1
Orne Beans,dev.orne.beans.converters,OffsetDateTimeConverter,56,23,0,0,17,5,5,2,5,2
Orne Beans,dev.orne.beans,Identity,5,0,0,0,1,0,1,0,1,0
Orne Beans,dev.orne.beans,BigIntegerIdentity,62,0,4,0,15,0,7,0,5,0
Orne Beans,dev.orne.beans,BeanValidationUtils,17,14,0,0,6,4,4,3,4,3
Orne Beans,dev.orne.beans,ValidBeanIdentity.ValidBeanIdentityValidator,5,60,5,11,2,17,5,6,0,3
Orne Beans,dev.orne.beans,IdentityResolver.UnresolvableIdentityException,23,0,0,0,10,0,5,0,5,0
Orne Beans,dev.orne.beans,IdentityResolver.WeakHashMapCache,0,26,0,0,0,7,0,4,0,4
Orne Beans,dev.orne.beans,JacksonSpiTypeIdResolver,347,0,36,0,74,0,34,0,16,0
Orne Beans,dev.orne.beans,ValidIdentity.ValidIdentityValidatorForString,6,39,1,3,2,15,2,5,1,4
Orne Beans,dev.orne.beans,LongIdentity,61,0,4,0,15,0,7,0,5,0
Orne Beans,dev.orne.beans,BeanAnnotationFinder.CacheEntryKey,26,51,3,3,7,17,6,3,3,3
Orne Beans,dev.orne.beans,TokenIdentity,23,47,5,5,7,15,7,4,2,4
Orne Beans,dev.orne.beans,ValidBeanReference.ValidBeanReferenceValidator,2,86,1,15,1,25,1,12,0,5
Orne Beans,dev.orne.beans,AbstractIdentity,59,0,8,0,18,0,11,0,7,0
Orne Beans,dev.orne.beans,IdentityTokenFormatter,258,0,24,0,61,0,24,0,12,0
Orne Beans,dev.orne.beans,AbstractComposedIdentity,140,0,14,0,35,0,18,0,11,0
Orne Beans,dev.orne.beans,IdentityResolver.InstanceHolder,0,5,0,0,0,1,0,1,0,1
Orne Beans,dev.orne.beans,BeanAnnotationFinder,21,230,4,20,6,57,8,19,4,11
Orne Beans,dev.orne.beans,UnrecognizedIdentityTokenException,12,4,0,0,6,2,3,1,3,1
Orne Beans,dev.orne.beans,TokenIdentity.IdentityXmlAdapter,3,34,2,6,1,12,2,5,0,3
Orne Beans,dev.orne.beans,BeanAnnotationFinder.WeakHashMapCache,5,21,0,0,1,6,1,3,1,3
Orne Beans,dev.orne.beans,BaseIdentityBean,71,0,6,0,23,0,10,0,7,0
Orne Beans,dev.orne.beans,IdentityResolver,199,150,17,13,35,37,15,10,2,8
Orne Beans,dev.orne.beans,StringIdentity,39,0,2,0,10,0,6,0,5,0
Orne Beans,dev.orne.beans,ValidIdentity.ValidIdentityValidator,6,39,1,3,2,15,2,5,1,4
Orne Beans,dev.orne.beans,AbstractSimpleIdentity,77,0,8,0,21,0,10,0,6,0
Orne Beans,dev.orne.beans.rnd,BaseIdentityBeanGenerator,34,0,6,0,9,0,7,0,4,0
Orne Beans,dev.orne.beans.rnd,TokenIdentityGenerator,64,0,8,0,14,0,8,0,4,0
